Мунира Кудайкулова,🙄😝😛🥵🤮🤮🤮🤮🤮🤮🤮🙀🤦🤦🤦🤦🤦👎👎👎👎👎👎👎👎👎,0,2023-04-10T19:58:31Z,s0uNLzMmNRc
Кубатбек Калыков,ушул чайканаларды созсуз журналис келип текшериш керекпи булардын самсасынан таракан чыккан бул жерди жабыш керек элдин денсоолугун ойлошпойт булар,0,2023-04-10T19:57:11Z,s0uNLzMmNRc
Айгул Сыдыкова,Жебегиле самсыны,0,2023-04-10T19:50:23Z,s0uNLzMmNRc
Абдумалик Эрматов,"Улукбек ашырып ирет кээде,мындай нерсе омур бою болуп келген,эми эле Россияга чыгып коруп келишип ошол тазалыкты Оштон сурап атканын тан калдырат,Бир жагынан туура иш кылып жатасын бирок ошол тазалыка ченемдуу акчасы да кымбат болушу керек аны эледер которо алышпайт саньпин акчасын алат кетет роспатребназдор да акчасын алат кетет анан бечаралар каалагандай кылышаттда!Улукбек кичине сылык болсон жакшы болот кекетпей,Кийинки депутаттык шайлоого кондидатуранды койсон  болсон баары ойлоп калат аудитория чогултуптур деп,Эрулан Кукуловдай болуп.",0,2023-04-10T19:45:34Z,s0uNLzMmNRc
Зифаргул Суранчиева,"Бизде аябай эле бардак, кай жерге барба ушул корунуш.",0,2023-04-10T19:43:09Z,s0uNLzMmNRc
Нур Дин,Кафе семейныйдан самса жедим жииркеничтуу балит жазалат,0,2023-04-10T19:42:51Z,s0uNLzMmNRc
Фируза Эргешова,"Орозонор кабыл болсун . Улукбекке калаган  калоо тилектер орундалсын . ты молодец , мы ждем тебя лидером политики.",0,2023-04-10T19:42:10Z,s0uNLzMmNRc
СБР,Ана мирзамил деп жейсинер ана билят,0,2023-04-10T19:40:24Z,s0uNLzMmNRc
Абу&Раби Нур,Чын Кыргыз Элим ушундай нерселердин айынан кобу больницада жатышат кобу ооруйт копчулугу отравления болуп,0,2023-04-10T19:37:39Z,s0uNLzMmNRc
И. К.,"Санэпидстанция каждый неделья келет. Даже кунуго келет обедке.Курсатарын тойгозуп кетишет. Анан эмне айтмак эле, иштей бер деп айтат да. 
Мырзалинин самсасы деп шилкейинер коюлчу эле. 
Тынар ошол жерден обед кылат. Тынардын любимый местасы.Мен булар менен канча жолу кырылышкам.. Адамдар мени жаман коруп тигилерге болушуп чыккан.",0,2023-04-10T19:33:02Z,s0uNLzMmNRc
Алмаз Тайчиев,"Оштук самаа саткан эшек сарт атууну баарын бирден котуно казык какыла. Самсасын жебегиле манка ичкилик кыргыздар гепатит деген оору мына ушулардын жугаат,, Оштун сапистансиясына как котогум текшергиле самсаны жапкылааааа",0,2023-04-10T19:30:28Z,s0uNLzMmNRc
Datkaiym Suranbaeva,Уч талды дагы карап койгулачы,0,2023-04-10T19:30:03Z,s0uNLzMmNRc
Нурмира Абдуразакова,Аппетит өлдү,0,2023-04-10T19:28:59Z,s0uNLzMmNRc
