Comment,Likes,Replies
Соонун тартылыптыр. Башка каарман да атасы да топ келген. Оскар сыйлыгын алат.,0,0
Урматтуу мекендештер!<br>Соонун кино экен!<br>Режиссеру ким?,1,0
Мына бир адамдан башка адамга камераны буруп тарткан биринчи кластын киносу го,0,0
Агайдын10чусу чыкпайбы,0,0
Кинону коруп ыйлап кыйналдымго🤣🤣🤣,0,0
"Өтө кооз, тарбыялуу мааниге ээ  мугалимге окуучуга ата-энеге жалпы адам затына пайдалуу кино экен. Келгиле мамлекет колдобосо эл озубуз колдоп жер жерлерде часный мектептерди ачайлы агайдын методикасы менен. Агахан ж.б динибизге  маданиятыбызга туура келбегендердин мектептерин колдобой.Агай эгер ниетиниз чынында калыс болсо артка кайтбаныз эл колдойт сиздей азаматтарды. Фонт ачыныз акча чогултабыз .",1,0
Мен ыйлап кордум. Ушундай туртку заманды да откордук.,0,0
"Эн мыкты сериал болуптур,аябай ыйладым, ушундай мугалимдерге таазим.",1,0
Ушундай мартышка секретаршалар канча кишинин канын ичип канча жетекчини элге жаман корсотушот.,1,0
😢,0,0
Гапыр агайга ырахмат! 👏,2,0
Борбордук Азия университетинде окуган болбойт.,0,0
Агахан каржылаптыр да.,0,0
"<a href=""https://www.bbc.com/kyrgyz/articles/cy7n53zdwjvo"">https://www.bbc.com/kyrgyz/articles/cy7n53zdwjvo</a> &quot;Агай&quot; сериалы тууралуу Руслан Акундун жаңы маеги",1,0
😢😢😢буйруса онугуу жолуна тушконубуз чын болсун кинону тарткандардын омуруно береке иштерине ийгилик бунданда жакшы кинолор тартылып дуйно жузуно атагынар чыксын!,1,0
100сом это же мало,0,0
То что основано на реальных событиях по истине впечатляет! Аплодирую стоя Реальному Гапыр агаю и всем кто снял этот шедевр!,3,0
Бул фильм абдан таасирдуу экен коруп  ыйладым.Ггапыр агайдын кыйынчылык менен жеткен ийгиликтери  жемиштуу болгону кубандырды.,1,0
Кыргызда ушундай баатыр адамдарды бапестеп сыйлап колдогонду эч уйронбодук.  Аллаах ыраазы болсун!!! Руслан азамат!!!,0,0
Агайдын басканынан бери окшоштуруптур молодец,1,0
